83.72,Recession of tendon
664.61,"Anal sphincter tear complicating delivery, not associated with third-degree perineal laceration, delivered, with or without mention of antepartum condition"
362.42,Serous detachment of retinal pigment epithelium
00.50,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]"
091.6,Secondary syphilis of viscera and bone
380.53,Acquired stenosis of external ear canal secondary to inflammation
53,Repair of hernia
304.71,"Combinations of opioid type drug with any other drug dependence, continuous"
516.6,Interstitial lung diseases of childhood
692.0,Contact dermatitis and other eczema due to detergents
728.2,"Muscular wasting and disuse atrophy, not elsewhere classified"
363.2,Other and unspecified forms of chorioretinitis and retinochoroiditis
023.1,Brucella abortus
312.03,"Undersocialized conduct disorder, aggressive type, severe"
53.81,Plication of the diaphragm
290.1,Presenile dementia
705.82,Fox-Fordyce disease
902.40,"Injury to renal vessel(s), unspecified"
13.1,Intracapsular extraction of lens
523.01,"Acute gingivitis, non-plaque induced"
715.1,"Osteoarthrosis, localized, primary"
718.08,"Articular cartilage disorder, other specified sites"
091.9,Unspecified secondary syphilis
25.2,Partial glossectomy
E813.6,Motor vehicle traffic accident involving collision with other vehicle injuring pedal cyclist
82.22,Excision of lesion of muscle of hand
647.53,"Rubella in the mother, antepartum condition or complication"
804.46,"Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
E015.9,Other activity involving cooking and grilling
747.11,Interruption of aortic arch
60.6,Other prostatectomy
939.2,Foreign body in vulva and vagina
454.8,Varicose veins of lower extremities with other complications
669.83,"Other complications of labor and delivery, antepartum condition or complication"
E836.3,Machinery accident in water transport injuring occupant of other watercraft -- other than crew
816.02,Closed fracture of distal phalanx or phalanges of hand
816.00,"Closed fracture of phalanx or phalanges of hand, unspecified"
772.3,Umbilical hemorrhage after birth
526.69,Other periradicular pathology associated with previous endodontic treatment
321.1,Meningitis in other fungal diseases
58.31,Endoscopic excision or destruction of lesion or tissue of urethra
017.0,Tuberculosis of skin and subcutaneous cellular tissue
156.8,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts
783.6,Polyphagia
850,Concussion
386.1,Other and unspecified peripheral vertigo
046.0,Kuru
996.4,"Mechanical complication of internal orthopedic device, implant, and graft"
86.51,Replantation of scalp
313.89,Other emotional disturbances of childhood or adolescence
709.9,Unspecified disorder of skin and subcutaneous tissue
579.4,Pancreatic steatorrhea
239.3,Neoplasm of unspecified nature of breast
079.89,Other specified viral infection
530.12,Acute esophagitis
93.74,Speech defect training
17.70,Intravenous infusion of clofarabine
202.50,"Letterer-siwe disease, unspecified site, extranodal and solid organ sites"
524.89,Other specified dentofacial anomalies
355.3,Lesion of lateral popliteal nerve
015.2,Tuberculosis of knee
378.08,Alternating esotropia with other noncomitancies
304.13,"Sedative, hypnotic or anxiolytic dependence, in remission"
81.07,"Lumbar and lumbosacral fusion of the posterior column, posterior technique"
772.6,Cutaneous hemorrhage of fetus or newborn
863.9,"Injury to other and unspecified gastrointestinal sites, with open wound into cavity"
982.1,Toxic effect of carbon tetrachloride
642.0,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium"
806.7,Open fracture of sacrum and coccyx with spinal cord injury
E836,Machinery accident in water transport
45.0,Enterotomy
716.31,"Climacteric arthritis, shoulder region"
718.38,"Recurrent dislocation of joint, other specified sites"
E980.3,"Poisoning by tranquilizers and other psychotropic agents, undetermined whether accidentally or purposely inflicted"
013.26,"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
V84.01,Genetic susceptibility to malignant neoplasm of breast
943.41,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of forearm"
908.4,"Late effect of injury to blood vessel of thorax, abdomen, and pelvis"
943.43,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of upper arm"
369.20,"Moderate or severe impairment, both eyes, impairment level not further specified"
16.52,Exenteration of orbit with therapeutic removal of orbital bone
40.5,Radical excision of other lymph nodes
344.0,Quadriplegia and quadriparesis
761.3,Polyhydramnios affecting fetus or newborn
E013.3,Activities involving ironing
458.29,Other iatrogenic hypotension
03.95,Spinal blood patch
E929.8,Late effects of other accidents
V23.0,Supervision of high-risk pregnancy with history of infertility
44.43,Endoscopic control of gastric or duodenal bleeding
78.44,"Other repair or plastic operations on bone, carpals and metacarpals"
550-553.99,HERNIA OF ABDOMINAL CAVITY
799,Other ill-defined and unknown causes of morbidity and mortality
310.1,Personality change due to conditions classified elsewhere
752.8,Other specified congenital anomalies of genital organs
376.01,Orbital cellulitis
228.0,"Hemangioma, any site"
674.84,"Other complications of puerperium, postpartum condition or complication"
821.01,Closed fracture of shaft of femur
94.54,Referral for drug addiction rehabilitation
300.82,Undifferentiated somatoform disorder
37.80,"Insertion of permanent pacemaker, initial or replacement, type of device not specified"
531.30,"Acute gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction"
72.79,Other vacuum extraction
V49.76,Above knee amputation status
032.85,Cutaneous diphtheria
502,Pneumoconiosis due to other silica or silicates
E893.0,Accident caused by ignition of clothing from controlled fire in private dwelling
173,Other and unspecified malignant neoplasm of skin
296.8,Other and unspecified bipolar disorders
66.21,Bilateral endoscopic ligation and crushing of fallopian tubes
327.10,"Organic hypersomnia, unspecified"
895.1,"Traumatic amputation of toe(s) (complete) (partial), complicated"
E852.2,Accidental poisoning by bromine compounds
004.2,Shigella boydii
971.1,Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics
631.0,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy
E013,Activities involving personal hygiene and household maintenance
611.2,Fissure of nipple
65.41,Laparoscopic unilateral salpingo-oophorectomy
789.60,"Abdominal tenderness, unspecified site"
34.01,Incision of chest wall
016.41,"Tuberculosis of epididymis, bacteriological or histological examination not done"
46.11,Temporary colostomy
376.31,Constant exophthalmos
821.31,"Open fracture of condyle, femoral"
659.7,Abnormality in fetal heart rate or rhythm
999.8,"Other infusion and transfusion reaction, not elsewhere classified"
948.65,"Burn (any degree) involving 60-69 percent of body surface with third degree burn, 50-59%"
948.63,"Burn [any degree] involving 60-69 percent of body surface with third degree burn, 30-39%"
E819.8,Motor vehicle traffic accident of unspecified nature injuring other specified person
996.00,"Mechanical complication of unspecified cardiac device, implant, and graft"
313.2,"Sensitivity, shyness, and social withdrawal disorder specific to childhood and adolescence"
E819.6,Motor vehicle traffic accident of unspecified nature injuring pedal cyclist
77.29,"Wedge osteotomy, other bones"
60.91,Percutaneous aspiration of prostate
414.07,Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart
810.01,Closed fracture of sternal end of clavicle
072.7,Mumps with other specified complications
537.3,Other obstruction of duodenum
323.72,Toxic myelitis
557.1,Chronic vascular insufficiency of intestine
804.76,"Open fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
783.22,Underweight
653.3,"Outlet contraction of pelvis in pregnancy, labor, and delivery"
673.1,Amniotic fluid embolism
333.0,Other degenerative diseases of the basal ganglia
335.8,Other anterior horn cell diseases
299.11,"Childhood disintegrative disorder, residual state"
E006.2,Activities involving golf
615,"Inflammatory diseases of uterus, except cervix"
301.9,Unspecified personality disorder
56.39,Other diagnostic procedures on ureter
404.01,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
795.3,Nonspecific positive culture findings
209.57,Benign carcinoid tumor of the rectum
941.09,"Burn of unspecified degree of multiple sites [except with eye] of face, head, and neck"
117.2,Chromoblastomycosis
286,Coagulation defects
02.12,Other repair of cerebral meninges
276.51,Dehydration
219.8,Benign neoplasm of other specified parts of uterus
84.59,Insertion of other spinal devices
666.02,"Third-stage postpartum hemorrhage, delivered, with mention of postpartum complication"
194.9,"Malignant neoplasm of endocrine gland, site unspecified"
E957,Suicide and self-inflicted injuries by jumping from high place
99.42,Vaccination against smallpox
V91.12,"Triplet gestation, with two or more monoamniotic fetuses"
860.0,Traumatic pneumothorax without mention of open wound into thorax
630-633.99,ECTOPIC AND MOLAR PREGNANCY
534.61,"Chronic or unspecified gastrojejunal ulcer with hemorrhage and perforation, with obstruction"
50.93,Localized perfusion of liver
56.3,Diagnostic procedures on ureter
368.02,Deprivation amblyopia
E800,Railway accident involving collision with rolling stock
727.61,Complete rupture of rotator cuff
E922.4,Accident caused by air gun
562.0,Diverticula of small intestine
37.0,Pericardiocentesis
94.02,Administration of psychologic test
706.9,Unspecified disease of sebaceous glands
202.1,Mycosis fungoides
E806.3,Other specified railway accident injuring pedal cyclist
813.04,Other and unspecified closed fractures of proximal end of ulna (alone)
813.02,Closed fracture of coronoid process of ulna
379.34,Posterior dislocation of lens
379.32,Subluxation of lens
664.6,"Anal sphincter tear complicating delivery, not associated with third-degree perineal laceration"
003.20,"Localized salmonella infection, unspecified"
731,Osteitis deformans and osteopathies associated with other disorders classified elsewhere
041.11,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
851.90,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, unspecified state of consciousness"
200.16,"Lymphosarcoma, intrapelvic lymph nodes"
200.14,"Lymphosarcoma, lymph nodes of axilla and upper limb"
233.2,Carcinoma in situ of other and unspecified parts of uterus
091.50,"Syphilitic uveitis, unspecified"
213.4,Benign neoplasm of scapula and long bones of upper limb
V03.5,Need for prophylactic vaccination and inoculation against diphtheria alone
V23.3,Supervision of high-risk pregnancy with grand multiparity
57.19,Other cystotomy
640-649.99,COMPLICATIONS MAINLY RELATED TO PREGNANCY
733.11,Pathologic fracture of humerus
160.1,"Malignant neoplasm of auditory tube, middle ear, and mastoid air cells"
98.27,"Removal of foreign body without incision from upper limb, except hand"
11.99,Other operations on cornea
E928.6,Environmental exposure to harmful algae and toxins
200.46,"Mantle cell lymphoma, intrapelvic lymph nodes"
517.8,Lung involvement in other diseases classified elsewhere
72.71,Vacuum extraction with episiotomy
604,Orchitis and epididymitis
095.4,Syphilis of kidney
89.09,"Consultation, not otherwise specified"
905.4,Late effect of fracture of lower extremities
236.3,Neoplasm of uncertain behavior of other and unspecified female genital organs
525.25,Moderate atrophy of the maxilla
720,Ankylosing spondylitis and other inflammatory spondylopathies
926.11,Crushing injury of back
941.39,"Full-thickness skin loss [third degree, not otherwise specified] of multiple sites [except with eye] of face, head, and neck"
801.81,"Open fracture of base of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness"
801.83,"Open fracture of base of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
183.9,"Malignant neoplasm of uterine adnexa, unspecified site"
E847,Accidents involving cable cars not running on rails
434.90,"Cerebral artery occlusion, unspecified without mention of cerebral infarction"
V58.43,Aftercare following surgery for injury and trauma
978,Poisoning by bacterial vaccines
56.9,Other operations on ureter
83.63,Rotator cuff repair
854.05,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
225.0,Benign neoplasm of brain
752.40,"Unspecified anomaly of cervix, vagina, and external female genitalia"
337.22,Reflex sympathetic dystrophy of the lower limb
301.20,"Schizoid personality disorder, unspecified"
45.31,Other local excision of lesion of duodenum
820.13,Open fracture of base of neck of femur
80.14,"Other arthrotomy, hand and finger"
531.2,Acute gastric ulcer with hemorrhage and perforation
716.61,"Unspecified monoarthritis, shoulder region"
008.42,Intestinal infection due to pseudomonas
633.8,Other ectopic pregnancy
942.55,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of genitalia"
789.2,Splenomegaly
57.7,Total cystectomy
202.4,Leukemic reticuloendotheliosis
058.81,Human herpesvirus 6 infection
201.62,"Hodgkin's disease, mixed cellularity, intrathoracic lymph nodes"
752.42,Imperforate hymen
73.51,Manual rotation of fetal head
675.22,"Nonpurulent mastitis associated with childbirth, delivered, with mention of postpartum complication"
584,Acute kidney failure
270.9,Unspecified disorder of amino-acid metabolism
718.55,"Ankylosis of joint, pelvic region and thigh"
429.6,Rupture of papillary muscle
80.74,"Synovectomy, hand and finger"
373.33,Xeroderma of eyelid
084.4,Other malaria
770.83,Cyanotic attacks of newborn
622.8,Other specified noninflammatory disorders of cervix
776.1,Transient neonatal thrombocytopenia
63.4,Epididymectomy
512.0,Spontaneous tension pneumothorax
296.0,"Bipolar I disorder, single manic episode"
V50.1,Other plastic surgery for unacceptable cosmetic appearance
32.0,Local excision or destruction of lesion or tissue of bronchus
44.1,Diagnostic procedures on stomach
V78.8,Screening for other disorders of blood and blood-forming organs
V09.50,Infection with microorganisms without mention of resistance to multiple quinolones and fluroquinolones
89.6,Circulatory monitoring
636.70,"Illegally induced abortion, with other specified complications, unspecified"
844.8,Sprains and strains of other specified sites of knee and leg
666.32,"Postpartum coagulation defects, delivered, with mention of postpartum complication"
611.5,Galactocele
951.6,Injury to accessory nerve
646.54,"Asymptomatic bacteriuria in pregnancy, postpartum condition or complication"
34.92,Injection into thoracic cavity
805.14,Open fracture of fourth cervical vertebra
37.53,Replacement or repair of thoracic unit of (total) replacement heart system
534.3,Acute gastrojejunal ulcer without mention of hemorrhage or perforation
13.64,Discission of secondary membrane [after cataract]
365.06,Primary angle closure without glaucoma damage
78.17,"Application of external fixator device, tibia and fibula"
78.01,"Bone graft, scapula, clavicle, and thorax [ribs and sternum]"
99.45,Vaccination against measles
873.64,"Open wound of tongue and floor of mouth, without mention of complication"
V53.51,Fitting and adjustment of gastric lap band
171.4,Malignant neoplasm of connective and other soft tissue of thorax
836.69,"Other dislocation of knee, open"
E863.2,Accidental poisoning by carbamates
707.25,"Pressure ulcer, unstageable"
778.2,Cold injury syndrome of newborn
758.4,Balanced autosomal translocation in normal individual
362.03,Nonproliferative diabetic retinopathy NOS
327.0,Organic disorders of initiating and maintaining sleep [Organic insomnia]
56.83,Closure of ureterostomy
91.66,"Microscopic examination of specimen from skin and other integument, cell block and Papanicolaou smear"
78.61,"Removal of implanted devices from bone, scapula, clavicle, and thorax [ribs and sternum]"
156,Malignant neoplasm of gallbladder and extrahepatic bile ducts
304.60,"Other specified drug dependence, unspecified"
721.90,"Spondylosis of unspecified site, without mention of myelopathy"
304.62,"Other specified drug dependence, episodic"
378.55,External ophthalmoplegia
810.0,Closed fracture of clavicle
745.3,Common ventricle
85.24,Excision of ectopic breast tissue
17.3,Laparoscopic partial excision of large intestine
806.17,Open fracture of C5-C7 level with anterior cord syndrome
821.3,"Fracture of lower end of femur, open"
743.34,"Total and subtotal cataract, congenital"
756.6,Anomalies of diaphragm
743.36,Congenital anomalies of lens shape
29.4,Plastic operation on pharynx
77,"Incision, excision, and division of other bones"
366.09,Other and combined forms of nonsenile cataract
758.7,Klinefelter's syndrome
V42.89,Other specified organ or tissue replaced by transplant
660.03,"Obstruction caused by malposition of fetus at onset of labor, antepartum condition or complication"
E007.8,"Activities involving physical games generally associated with school recess, summer camp and children"
V84.0,Genetic susceptibility to malignant neoplasm
804.93,"Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
V58.73,"Aftercare following surgery of the circulatory system, NEC"
622.12,Moderate dysplasia of cervix
622.10,"Dysplasia of cervix, unspecified"
97.34,Removal of dental packing
747.4,"Anomalies of great veins, congenital"
365.15,Residual stage of open angle glaucoma
382.4,Unspecified suppurative otitis media
671.33,"Deep phlebothrombosis, antepartum, antepartum condition or complication"
09.20,"Excision of lacrimal gland, not otherwise specified"
44.03,Other selective vagotomy
669.44,"Other complications of obstetrical surgery and procedures, postpartum condition or complication"
07.22,Unilateral adrenalectomy
078.3,Cat-scratch disease
89.69,Monitoring of coronary blood flow
76.96,Injection of therapeutic substance into temporomandibular joint
022.8,Other specified manifestations of anthrax
89.56,Carotid pulse tracing with ECG lead
84.09,Interthoracoscapular amputation
646.93,"Unspecified complication of pregnancy, antepartum condition or complication"
943.02,Burn of unspecified degree of elbow
745.6,Endocardial cushion defects
056.7,Rubella with other specified complications
133.9,"Acariasis, unspecified"
958.4,Traumatic shock
V73.0,Screening examination for poliomyelitis
76.9,Other operations on facial bones and joints
429.9,"Heart disease, unspecified"
680.4,Carbuncle and furuncle of hand
200.85,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of inguinal region and lower limb"
29.33,Pharyngectomy (partial)
205.12,"Chronic myeloid leukemia, in relapse"
454,Varicose veins of lower extremities
279.05,Immunodeficiency with increased IgM
205.10,"Chronic myeloid leukemia, without mention of having achieved remission"
96.19,Rectal packing
V45.61,Cataract extraction status
207.22,"Megakaryocytic leukemia, in relapse"
97.59,Removal of other device from digestive system
851.51,"Cerebellar or brain stem contusion with open intracranial wound, with no loss of consciousness"
646.1,"Edema or excessive weight gain in pregnancy, without mention of hypertension"
306.0,Musculoskeletal malfunction arising from mental factors
781,Symptoms involving nervous and musculoskeletal systems
38.87,"Other surgical occlusion of vessels, abdominal veins"
96.7,Other continuous invasive mechanical ventilation
969.00,"Poisoning by antidepressant, unspecified"
374.5,Degenerative disorders of eyelid and periocular area
663.43,"Short cord complicating labor and delivery, antepartum condition or complication"
661.2,Other and unspecified uterine inertia
714.8,Other specified inflammatory polyarthropathies
678.11,"Fetal conjoined twins, delivered, with or without mention of antepartum condition"
372.56,Conjunctival deposits
803.19,"Other closed skull fracture with cerebral laceration and contusion, with concussion, unspecified"
066.41,West Nile Fever with encephalitis
385.8,Other disorders of middle ear and mastoid
E866.4,Accidental poisoning by other metals and their compounds and fumes
V49.67,Shoulder amputation status
E825.6,Other motor vehicle nontraffic accident of other and unspecified nature injuring pedal cyclist
794.13,Nonspecific abnormal visually evoked potential
65.01,Laparoscopic oophorotomy
760.7,Noxious influences affecting fetus or newborn via placenta or breast milk
058.12,Roseola infantum due to human herpesvirus 7
617.1,Endometriosis of ovary
652.13,"Breech or other malpresentation successfully converted to cephalic presentation, antepartum condition or complication"
252.1,Hypoparathyroidism
V42.2,Heart valve replaced by transplant
63.93,Incision of spermatic cord
018.95,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
42.65,Antesternal esophageal anastomosis with interposition of colon
78.64,"Removal of implanted devices from bone, carpals and metacarpals"
44.63,Closure of other gastric fistula
675.93,"Unspecified infection of the breast and nipple associated with childbirth, antepartum condition or complication"
675.91,"Unspecified infection of the breast and nipple associated with childbirth, delivered, with or without mention of antepartum condition"
49.2,Diagnostic procedures on anus and perianal tissue
615.0,"Acute inflammatory diseases of uterus, except cervix"
382.00,Acute suppurative otitis media without spontaneous rupture of eardrum
V17.8,Family history of other musculoskeletal diseases
516.63,Surfactant mutations of the lung
794.9,Nonspecific abnormal results of other specified function study
286.3,Congenital deficiency of other clotting factors
85.71,Latissimus dorsi myocutaneous flap
825.20,Closed fracture of unspecified bone(s) of foot [except toes]
323.63,Postinfectious myelitis
839.4,"Closed dislocation, other vertebra"
04.89,"Injection of other agent, except neurolytic"
65.61,Other removal of both ovaries and tubes at same operative episode
534.31,"Acute gastrojejunal ulcer without mention of hemorrhage or perforation, with obstruction"
567.8,Other specified peritonitis
V07,Need for isolation and other prophylactic or treatment measures
24.4,Excision of dental lesion of jaw
V11.4,Personal history of combat and operational stress reaction
E843.7,"Fall in, on, or from aircraft injuring parachutist (military) (other)"
14.32,Repair of retinal tear by cryotherapy
E843.9,"Fall in, on, or from aircraft injuring other person"
379.90,"Disorder of eye, unspecified"
E836.1,"Machinery accident in water transport injuring occupant of small boat, powered"
633.81,Other ectopic pregnancy with intrauterine pregnancy
V59.9,Donors of unspecified organ or tissue
V10.62,Personal history of myeloid leukemia
E802.9,Railway accident involving derailment without antecedent collision injuring unspecified person
269.8,Other nutritional deficiency
97.81,Removal of retroperitoneal drainage device
159.0,"Malignant neoplasm of intestinal tract, part unspecified"
784.69,Other symbolic dysfunction
42.68,Other antesternal esophageal anastomosis with interposition
045.00,"Acute paralytic poliomyelitis specified as bulbar, poliovirus, unspecified type"
385.10,"Adhesive middle ear disease, unspecified as to involvement"
V84,Genetic susceptibility to disease
944.1,Erythema due to burn [first degree] of wrist(s) and hand(s)
604.0,"Orchitis, epididymitis, and epididymo-orchitis, with abscess"
E800.3,Railway accident involving collision with rolling stock and injuring pedal cyclist
342.92,"Hemiplegia, unspecified, affecting nondominant side"
716.20,"Allergic arthritis, site unspecified"
621.33,Endometrial hyperplasia with atypia
943.34,"Full-thickness skin loss [third degree, not otherwise specified] of axilla"
426.89,Other specified conduction disorders
943.32,"Full-thickness skin loss [third degree, not otherwise specified] of elbow"
38.21,Biopsy of blood vessel
349.31,Accidental puncture or laceration of dura during a procedure
712.86,"Other specified crystal arthropathies, lower leg"
97,Replacement and removal of therapeutic appliances
692.3,Contact dermatitis and other eczema due to drugs and medicines in contact with skin
275.0,Disorders of iron metabolism
V65.1,Person consulting on behalf of another person
07.72,Incision of pituitary gland
995.67,Anaphylactic reaction due to milk products
433,Occlusion and stenosis of precerebral arteries
995.65,Anaphylactic reaction due to fish
71.09,Other incision of vulva and perineum
712.95,"Unspecified crystal arthropathy, pelvic region and thigh"
E904.3,"Accident due to exposure (to weather conditions), not elsewhere classifiable"
296.01,"Bipolar I disorder, single manic episode, mild"
36.10,"Aortocoronary bypass for heart revascularization, not otherwise specified"
312.9,Unspecified disturbance of conduct
E988.5,"Injury by crashing of motor vehicle, undetermined whether accidentally or purposely inflicted"
741.01,"Spina bifida with hydrocephalus, cervical region"
290.4,Vascular dementia
919.7,"Superficial foreign body (splinter) of other, multiple, and unspecified sites, without major open wound, infected"
003.9,"Salmonella infection, unspecified"
863.41,"Injury to ascending [right] colon, without mention of open wound into cavity"
317,Mild intellectual disabilities
428.43,Acute on chronic combined systolic and diastolic heart failure
85.74,"Deep inferior epigastric artery perforator (DIEP) flap, free"
945.26,"Blisters, epidermal loss [second degree] of thigh [any part]"
871.0,Ocular laceration without prolapse of intraocular tissue
80.27,"Arthroscopy, ankle"
E945.1,Smooth muscle relaxants causing adverse effects in therapeutic use
E849.9,Accidents occurring in unspecified place
57.1,Cystotomy and cystostomy
457.0,Postmastectomy lymphedema syndrome
E929-E929.9,LATE EFFECTS OF ACCIDENTAL INJURY
902.0,Injury to abdominal aorta
E000.0,Civilian activity done for income or pay
742.59,Other specified congenital anomalies of spinal cord
070-079.99,OTHER DISEASES DUE TO VIRUSES AND CHLAMYDIAE
327.39,Other circadian rhythm sleep disorder
309.28,Adjustment disorder with mixed anxiety and depressed mood
71.9,Other operations on female genital organs
573.0,Chronic passive congestion of liver
84.56,Insertion or replacement of (cement) spacer
719.32,"Palindromic rheumatism, upper arm"
E927.0,Overexertion from sudden strenuous movement
374.12,Mechanical ectropion
374.10,"Ectropion, unspecified"
08.52,Blepharorrhaphy
91.19,"Microscopic examination of peritoneal and retroperitoneal specimen, other microscopic examination"
244.2,Iodine hypothyroidism
51.8,Other operations on biliary ducts and sphincter of Oddi
016.30,"Tuberculosis of other urinary organs, unspecified"
301.6,Dependent personality disorder
016.32,"Tuberculosis of other urinary organs, bacteriological or histological examination unknown (at present)"
404,Hypertensive heart and chronic kidney disease
862.39,Injury to other specified intrathoracic organs with open wound into cavity
722.83,"Postlaminectomy syndrome, lumbar region"
796.76,Papanicolaou smear of anus with cytologic evidence of malignancy
760.74,Anti-infectives affecting fetus or newborn via placenta or breast milk
378.6,Mechanical strabismus
327.43,Recurrent isolated sleep paralysis
880.10,"Open wound of shoulder region, complicated"
770.0,Congenital pneumonia
914.9,"Other and unspecified superficial injury of hand(s) except finger(s) alone, infected"
V72.83,Other specified pre-operative examination
016.76,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
016.74,"Tuberculosis of other female genital organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
302.71,Hypoactive sexual desire disorder
441.2,Thoracic aneurysm without mention of rupture
781.3,Lack of coordination
730.15,"Chronic osteomyelitis, pelvic region and thigh"
364.0,Acute and subacute iridocyclitis
12.42,Excision of lesion of iris
376.5,Enophthalmos
46.43,Other revision of stoma of large intestine
48.41,Soave submucosal resection of rectum
066.0,Phlebotomus fever
50.21,Marsupialization of lesion of liver
123.4,"Diphyllobothriasis, intestinal"
75.5,Repair of current obstetric laceration of uterus
752.45,Vaginal agenesis
648.91,"Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition"
201.67,"Hodgkin's disease, mixed cellularity, spleen"
945.02,Burn of unspecified degree of foot
032.1,Nasopharyngeal diphtheria
716.66,"Unspecified monoarthritis, lower leg"
716.64,"Unspecified monoarthritis, hand"
41.93,Excision of accessory spleen
764.93,"Fetal growth retardation, unspecified, 750-999 grams"
619.1,"Digestive-genital tract fistula, female"
654.13,"Tumors of body of uterus, antepartum condition or complication"
654.11,"Tumors of body of uterus, delivered, with or without mention of antepartum condition"
017.92,"Tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)"
300.29,Other isolated or specific phobias
211.9,Benign neoplasm of other and unspecified site in the digestive system
367.3,Anisometropia and aniseikonia
656.23,"Isoimmunization from other and unspecified blood-group incompatibility, antepartum condition or complication"
846.2,Sprain of sacrospinatus (ligament)
641,"Antepartum hemorrhage, abruptio placentae, and placenta previa"
27.2,Diagnostic procedures on oral cavity
813.46,Torus fracture of ulna (alone)
E874.2,Mechanical failure of instrument or apparatus during kidney dialysis and other perfusion
851.39,"Cortex (cerebral) laceration with open intracranial wound, with concussion, unspecified"
903.9,Injury to unspecified blood vessel of upper extremity
718.20,"Pathological dislocation of joint, site unspecified"
863.85,"Injury to appendix, without mention of open wound into cavity"
756.11,"Spondylolysis, lumbosacral region"
946.1,Erythema [first degree] of multiple specified sites
02.99,"Other operations on skull, brain, and cerebral meninges"
015.15,"Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
353.0,Brachial plexus lesions
59.93,Replacement of ureterostomy tube
173.41,Basal cell carcinoma of scalp and skin of neck
750.5,Congenital hypertrophic pyloric stenosis
410.4,"Acute myocardial infarction, of other inferior wall"
38.65,"Other excision of vessels, thoracic vessels"
098.31,"Gonococcal cystitis, chronic"
370.35,Neurotrophic keratoconjunctivitis
711.81,"Arthropathy associated with other infectious and parasitic diseases, shoulder region"
45.28,Other diagnostic procedures on large intestine
711.83,"Arthropathy associated with other infectious and parasitic diseases, forearm"
368.46,Homonymous bilateral field defects
654.43,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, antepartum condition or complication"
112.4,Candidiasis of lung
637.91,"Unspecified abortion, without mention of complication, incomplete"
51.04,Other cholecystotomy
362.06,Severe nonproliferative diabetic retinopathy
952.13,T1-T6 level with central cord syndrome
374.54,Hypertrichosis of eyelid
96.54,"Dental scaling, polishing, and debridement"
180.9,"Malignant neoplasm of cervix uteri, unspecified site"
804.1,"Closed fractures involving skull or face with other bones, with cerebral laceration and contusion"
374.56,Other degenerative disorders of skin affecting eyelid
588.1,Nephrogenic diabetes insipidus
93.93,Nonmechanical methods of resuscitation
945.30,Full-thickness skin loss [third degree NOS] of lower limb [leg] unspecified site
674.5,Peripartum cardiomyopathy
389.22,"Mixed hearing loss, bilateral"
389.20,"Mixed hearing loss, unspecified"
945.32,Full-thickness skin loss [third degree NOS] of foot
V49.4,Disfigurements of limbs
532.01,"Acute duodenal ulcer with hemorrhage, with obstruction"
63.71,Ligation of vas deferens
279.1,Deficiency of cell-mediated immunity
E863.7,Accidental poisoning by rodenticides
E863.5,Accidental poisoning by herbicides
242.30,"Toxic nodular goiter, unspecified type, without mention of thyrotoxic crisis or storm"
V12.60,Personal history of unspecified disease of respiratory system
296.45,"Bipolar I disorder, most recent episode (or current) manic, in partial or unspecified remission"
011.82,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
92.12,Scan of other sites of head
